week,crashes
06/01/2022,783
13/01/2022,892
20/01/2022,942
27/01/2022,951
03/02/2022,954
10/02/2022,1150
17/02/2022,1060
24/02/2022,1035
02/03/2022,1070
09/03/2022,1042
16/03/2022,1098
23/03/2022,1091
30/03/2022,993
06/04/2022,1098
13/04/2022,993
20/04/2022,1039
27/04/2022,1097
04/05/2022,1105
11/05/2022,1135
18/05/2022,1043
25/05/2022,986
Jun-22,1002
08/06/2022,1085
15/06/2022,986
22/06/2022,1061
29/06/2022,1030
06/07/2022,1013
13/07/2022,1109
20/07/2022,1016
27/07/2022,1038
03/08/2022,1086
10/08/2022,1112
17/08/2022,1094
24/08/2022,1108
31/08/2022,1108
07/09/2022,1050
14/09/2022,1136
21/09/2022,1176
28/09/2022,1168
05/10/2022,1114
12/10/2022,1216
19/10/2022,1167
26/10/2022,1131
02/11/2022,1172
09/11/2022,1221
16/11/2022,1062
23/11/2022,903
30/11/2022,1082
07/12/2022,1261
14/12/2022,1047
21/12/2022,950
28/12/2022,1119
